,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
126892,gdb_126893,CCN=C1ON=NC=C1,4.12183,1.07763,0.91744,2.0196,79.34,-0.25,-0.0967,0.1532,1265.3734,0.12292,-434.020361,-434.011895,-434.010951,-434.05438,30.37
22488,gdb_22489,CCC(COC=N)=NO,2.42854,0.98306,0.88436,2.9574,76.75,-0.2582,-0.008,0.2502,1410.5336,0.157014,-456.299804,-456.289425,-456.288481,-456.33677,35.964
17225,gdb_17226,N#CC12CC3NC1C23,5.45874,1.70232,1.5509,4.6477,66.5,-0.2414,0.0152,0.2567,808.3272,0.109479,-341.522979,-341.516979,-341.516035,-341.553004,23.676
17437,gdb_17438,CC1N2C3CC1(O)C23,2.69659,2.64897,1.90335,2.2913,66.94,-0.2328,0.0658,0.2985,781.5959,0.142266,-363.795869,-363.788836,-363.787891,-363.826568,28.054
26695,gdb_26696,Cc1c(c([nH]c1O)O)N,2.28677,1.56567,0.93945,0.3979,72.39,-0.1583,0.0553,0.2135,1198.9083,0.134655,-455.165414,-455.155364,-455.15442,-455.199694,36.364
8703,gdb_8704,CCC(O)(CO)C=O,2.33368,1.73226,1.3391,3.9618,63.97,-0.2527,-0.0284,0.2244,1013.0645,0.150199,-422.07944,-422.069756,-422.068812,-422.114042,34.28
116001,gdb_116002,CCC1=CCCC1CO,1.92235,1.29775,0.89801,1.3638,88.12,-0.2262,0.031,0.2571,1412.4818,0.205754,-388.30794,-388.297863,-388.296919,-388.34368,36.98
71453,gdb_71454,OC12CC3C1C2NC3=O,4.06191,1.38606,1.24215,3.4751,67.79,-0.2281,0.0252,0.2533,991.4929,0.125724,-437.884698,-437.87757,-437.876626,-437.915885,28.767
128174,gdb_128175,CNc1c(onn1)C#C,2.43159,1.49804,0.93583,4.434,78.31,-0.2151,-0.0558,0.1593,1181.3064,0.099638,-432.804045,-432.795566,-432.794622,-432.837631,30.246
19104,gdb_19105,CC1C2C3C4C1C2N34,4.51256,2.15055,2.10559,2.0135,69.07,-0.2266,0.0782,0.3049,733.8042,0.144227,-326.642375,-326.636435,-326.635491,-326.672076,24.536
23078,gdb_23079,ON=C1CC2OCC2=C1,4.87326,1.0587,0.90467,1.0703,78.42,-0.2257,-0.038,0.1878,1229.9302,0.124648,-437.809254,-437.801707,-437.800763,-437.841383,28.982
38007,gdb_38008,C1C2C=C3CN4C1C2C34,3.00581,2.26692,1.97453,1.1201,80.13,-0.1948,-0.0144,0.1803,798.9245,0.151115,-364.697118,-364.691354,-364.69041,-364.726716,25.675
32745,gdb_32746,CCNc1c(nc[nH]1)O,2.79262,1.29093,0.97685,1.9689,74.78,-0.19,0.035,0.225,1227.2554,0.149102,-435.296625,-435.28771,-435.286766,-435.330825,33.067
89846,gdb_89847,OC1CC2(CC2)CC1O,2.84485,1.29228,1.13438,2.5285,77.54,-0.247,0.068,0.3151,1170.1392,0.183464,-424.222449,-424.213851,-424.212907,-424.25586,34.302
7252,gdb_7253,CC(C)C(=N)OC=O,4.18582,1.18828,1.0056,1.993,66.95,-0.2865,-0.0263,0.2603,1170.088,0.13967,-401.03455,-401.025445,-401.024501,-401.06892,31.659
32837,gdb_32838,CCCc1cc(c[nH]1)O,5.10604,0.73462,0.68061,1.9209,83.53,-0.1794,0.0488,0.2281,1693.5636,0.170826,-403.188897,-403.179163,-403.178219,-403.224351,35.688
35920,gdb_35921,N#CC1NCCC2OC12,3.13488,1.39391,1.07267,5.4809,72.4,-0.2506,0.0218,0.2724,1105.2292,0.138307,-417.995767,-417.988182,-417.987238,-418.027999,29.03
13523,gdb_13524,NC(=O)C1CCC1O,3.13996,1.80862,1.43909,4.3087,64.51,-0.2467,0.0165,0.2632,913.1712,0.14286,-401.026133,-401.018039,-401.017095,-401.059013,30.066
34010,gdb_34011,N#CC12CC1COC=N2,3.56505,1.37449,1.17612,5.0253,70.6,-0.258,-0.0096,0.2484,1027.1517,0.114478,-416.814588,-416.807315,-416.806371,-416.846434,27.5
59732,gdb_59733,CC(C)C1CCCC1=O,2.41916,1.31374,0.90655,2.6413,85.72,-0.2324,-0.0138,0.2186,1357.77,0.205451,-388.339458,-388.329839,-388.328895,-388.374167,36.572
18178,gdb_18179,N#CC1=CCN2CC12,4.9715,1.61232,1.3214,3.5137,69.57,-0.245,-0.0527,0.1923,888.6318,0.1092,-341.578687,-341.572324,-341.57138,-341.609211,24.279
131361,gdb_131362,C1C=Cc2c1[nH]nc2O,3.43639,1.57425,1.08691,2.3888,73.75,-0.1993,-0.0004,0.1989,1037.2921,0.115777,-416.832199,-416.825295,-416.82435,-416.863227,27.535
17020,gdb_17021,CC1C2CN1C2C#C,4.08484,1.63935,1.36253,1.7068,75.75,-0.2296,0.0267,0.2562,943.4314,0.141916,-326.608684,-326.601284,-326.600339,-326.640017,28.883
87217,gdb_87218,CN1CC1(C)CN1CC1,2.84279,1.0755,0.98808,0.579,87.05,-0.2213,0.0912,0.3125,1362.3461,0.204353,-384.408363,-384.39837,-384.397426,-384.443384,37.286
4174,gdb_4175,CC1C2CC2C1=NO,3.40608,1.81942,1.34827,1.1585,72.13,-0.2299,0.0148,0.2448,932.2433,0.141629,-363.793275,-363.785534,-363.784589,-363.825016,29.604
122370,gdb_122371,OCCCC1C2CC1C2,5.0561,0.64418,0.63545,1.3773,87.19,-0.2621,0.0808,0.3428,1843.8649,0.206543,-388.232658,-388.22342,-388.222476,-388.267734,34.758
56337,gdb_56338,C(COC=O)NC(=O)N,2.5154,0.9858,0.82039,2.6369,66.2,-0.2644,0.0104,0.2748,1399.8069,0.135324,-492.341692,-492.331886,-492.330942,-492.378038,33.949
72521,gdb_72522,CC12OCC(CO1)C2=O,2.22742,1.95329,1.69718,2.2238,67.39,-0.2339,-0.0274,0.2065,916.8795,0.136263,-458.980995,-458.97332,-458.972376,-459.013018,29.359
103680,gdb_103681,CCC1(C)CC(O1)C=O,3.72216,0.93709,0.90319,2.188,79.02,-0.2414,-0.0294,0.2119,1396.7027,0.179294,-424.230175,-424.220107,-424.219163,-424.266075,36.326
77144,gdb_77145,NC(=O)C1CC(=O)C1O,2.74452,1.3114,1.15708,6.3046,66.04,-0.234,-0.0234,0.2106,1095.8671,0.123199,-475.059865,-475.051048,-475.050103,-475.093919,32.302
47351,gdb_47352,N=C1COCC(O1)C#C,2.45896,1.51548,1.18949,2.6444,72.09,-0.2612,0.0079,0.2691,1071.226,0.12411,-437.846325,-437.838214,-437.83727,-437.879424,30.333
86248,gdb_86249,CN1CC(O)CC1C=O,2.05783,1.70916,1.19345,3.9782,76.4,-0.2183,-0.0306,0.1876,1117.4555,0.170477,-440.288802,-440.279693,-440.278749,-440.322614,33.873
22757,gdb_22758,CC1C(CC1=NO)C=O,3.1333,0.94622,0.76356,2.1479,78.37,-0.2504,-0.03,0.2204,1445.7208,0.144641,-439.044651,-439.035074,-439.03413,-439.079946,34.145
126188,gdb_126189,CCc1c(c(no1)O)C,2.9517,1.21864,0.92331,2.1129,75.5,-0.24,0.006,0.246,1283.2261,0.146661,-439.102543,-439.093209,-439.092265,-439.137459,33.41
125881,gdb_125882,CC1CC1C1=NON=C1,3.71124,1.08926,1.0179,4.1316,74.37,-0.2717,-0.0407,0.231,1211.4853,0.136401,-417.959656,-417.951762,-417.950818,-417.992745,29.363
45663,gdb_45664,O=C1CN=C2NC3C2C13,3.21239,1.79906,1.42167,4.6505,71.13,-0.2433,-0.0461,0.1971,894.1811,0.113711,-416.724388,-416.717936,-416.716991,-416.755114,26.303
71261,gdb_71262,CC12CC3C(CC1=O)N23,2.50735,2.04152,1.4391,2.4806,74.46,-0.2401,-0.0215,0.2186,945.3562,0.14841,-401.943124,-401.935636,-401.934692,-401.974799,29.73
86564,gdb_86565,CC1C(O)CC1C(C)=O,2.36226,1.33189,1.24308,3.8855,78.77,-0.2436,-0.0291,0.2145,1173.0006,0.181064,-424.24338,-424.233759,-424.232814,-424.277915,35.965
11945,gdb_11946,OC12CC1(OC2)C=O,3.18158,1.99768,1.5492,2.8403,60.81,-0.2356,-0.0342,0.2015,825.4611,0.104892,-419.633207,-419.625754,-419.62481,-419.664875,27.292
32627,gdb_32628,CCn1ccc(c1O)O,2.97034,1.28649,0.97325,1.3582,75.15,-0.1716,0.0569,0.2285,1223.1907,0.146838,-439.110625,-439.101198,-439.100254,-439.144924,34.752
44473,gdb_44474,O=C1OC2C3CC2(C3)O1,4.39294,1.47075,1.35398,5.0358,65.02,-0.2955,0.0251,0.3206,932.7648,0.1145,-457.725916,-457.719852,-457.718908,-457.75629,24.986
24075,gdb_24076,c1coc(n1)NCC#N,7.29852,0.78809,0.71974,3.5099,69.27,-0.2229,0.009,0.2319,1452.1461,0.102402,-432.900911,-432.892999,-432.892055,-432.934755,27.87
60272,gdb_60273,CC(C)OC1CCCC1,3.59023,0.8648,0.74335,0.9593,89.74,-0.2376,0.0778,0.3153,1647.7986,0.228574,-389.51151,-389.501089,-389.500145,-389.54882,38.252
131103,gdb_131104,OC(C#C)C1=NOC=C1,3.40682,1.22255,0.92822,1.8213,68.55,-0.2689,-0.0167,0.2522,1177.4128,0.099671,-436.629026,-436.620884,-436.61994,-436.662701,29.625
80626,gdb_80627,OC1C2CC(O2)C11CO1,2.50076,1.86463,1.40482,2.7174,67.13,-0.2375,0.0541,0.2916,950.5018,0.136259,-458.903519,-458.896184,-458.89524,-458.935073,29.148
51164,gdb_51165,O=CCC12OC1CC=C2,4.13841,1.05309,0.9319,3.1911,73.72,-0.2485,-0.0294,0.2191,1248.0815,0.13461,-421.823291,-421.815191,-421.814246,-421.856989,30.001
67820,gdb_67821,OC12C=CC3CC1CC23,2.55679,2.24218,1.6028,1.4355,78.27,-0.2316,0.0165,0.2481,893.3989,0.162105,-385.875797,-385.869095,-385.868151,-385.906225,29.154
59216,gdb_59217,CC(C)C1C2CC2C1=O,2.38296,1.43603,1.00465,3.0893,82.9,-0.2349,-0.0094,0.2255,1244.6921,0.181522,-387.09052,-387.081358,-387.080414,-387.124434,34.82
107241,gdb_107242,CCC12CC1C1OC21C,2.82255,1.4057,1.09177,2.0191,81.75,-0.2201,0.0721,0.2923,1191.2719,0.180755,-387.025628,-387.016668,-387.015723,-387.058935,34.906
54304,gdb_54305,CC(=O)C1(CC1)N2CC2,2.51781,1.48036,1.0828,2.9434,79.72,-0.2294,-0.0079,0.2216,1169.0102,0.169008,-403.121928,-403.112739,-403.111794,-403.156145,34.597
49964,gdb_49965,O=CN1CC1(C=O)C#C,2.7528,1.23064,0.97482,0.8631,71.12,-0.2665,-0.0523,0.2142,1173.6465,0.097104,-436.642339,-436.633436,-436.632492,-436.676461,31.176
51315,gdb_51316,C1COCC=C1NC=O,3.84016,1.04047,0.84353,3.3021,78.95,-0.2206,-0.0052,0.2153,1325.2196,0.149171,-439.116893,-439.108595,-439.107651,-439.150657,30.714
43138,gdb_43139,O=C1C2COC11COC21,2.54836,2.04006,1.66306,2.8218,64.65,-0.2307,-0.0223,0.2084,854.6411,0.113009,-457.671795,-457.665219,-457.664275,-457.702568,26.207
7661,gdb_7662,CC1(O)C2OC1C2O,3.22902,2.25246,1.57321,2.9749,60.67,-0.2456,0.0479,0.2935,818.9776,0.129163,-420.802313,-420.795071,-420.794126,-420.833122,29.006
7027,gdb_7028,C(=O)NC(=N)NC=O,4.06699,1.40821,1.04602,5.3668,60.21,-0.2509,-0.0403,0.2105,1026.0102,0.095849,-431.970363,-431.962619,-431.961675,-432.003238,26.71
109307,gdb_109308,CCC1=CCOC1(C)C,2.18587,1.40396,1.12713,1.5995,87.97,-0.2236,0.0219,0.2456,1252.9301,0.203849,-388.312364,-388.302127,-388.301183,-388.347778,38.071
6582,gdb_6583,OC12CC(O)(C1)C=C2,4.16817,1.8728,1.62445,1.4252,64.49,-0.2318,0.0065,0.2383,813.1261,0.129857,-383.69874,-383.691735,-383.690791,-383.72917,28.787
21608,gdb_21609,NC1=NC(=N)C=NO1,4.00006,2.0575,1.35916,3.8341,61.84,-0.2451,-0.052,0.1932,822.9959,0.085252,-410.832644,-410.825953,-410.825009,-410.863524,24.841
113476,gdb_113477,OCC1CC11OC2CC12,2.71881,1.49557,1.20079,2.7255,75.33,-0.2358,0.0667,0.3024,1089.7598,0.159043,-422.956837,-422.948762,-422.947817,-422.989484,31.76
105158,gdb_105159,CCC1(OC1C#C)C=O,2.56761,1.16513,0.97294,2.1004,77.09,-0.259,-0.0468,0.2122,1258.7756,0.131676,-421.782802,-421.773173,-421.772229,-421.817614,34.449
95857,gdb_95858,CC1COCC(O1)C#N,2.39923,1.44674,1.13793,3.77,72.26,-0.2595,0.0168,0.2763,1134.1954,0.148112,-439.09565,-439.087221,-439.086277,-439.128696,31.487
104096,gdb_104097,CC1(CO)CC(=O)CO1,2.86486,1.17939,1.09917,1.191,71.18,-0.2522,-0.0312,0.2211,1186.3938,0.157556,-460.18739,-460.178355,-460.177411,-460.221235,34.05
24309,gdb_24310,C1C2NCC3=C2N1C=N3,3.02464,2.30498,1.50049,2.8095,73.85,-0.2079,-0.0277,0.1802,848.5249,0.128381,-396.861715,-396.855506,-396.854561,-396.89204,25.381
90619,gdb_90620,CC1OC2C1C1CC21O,4.04514,1.21032,1.13446,0.889,74.75,-0.236,0.0714,0.3074,1140.6591,0.158579,-422.964399,-422.956339,-422.955395,-422.996494,32.136
21001,gdb_21002,Cn1cc(cn1)CO,5.06412,1.30217,1.08056,1.7893,68.05,-0.233,0.0174,0.2505,1078.4938,0.131728,-379.934975,-379.926883,-379.925938,-379.968824,28.092
68686,gdb_68687,CC12CC(OCO1)C=C2,2.72773,1.84486,1.55834,1.7445,74.51,-0.253,-0.0072,0.2458,941.2321,0.161262,-423.03041,-423.023204,-423.02226,-423.061392,30.05
65551,gdb_65552,CC1(CC2CN1C2)C=O,2.75658,1.57661,1.35777,2.3844,78.22,-0.2391,-0.0239,0.2151,1031.7849,0.171722,-403.123338,-403.115315,-403.114371,-403.155781,31.643
56317,gdb_56318,CC(=O)CCCOC=O,5.58767,0.51304,0.48646,5.9204,74.71,-0.2565,-0.0211,0.2354,2180.7545,0.155316,-460.20887,-460.198148,-460.197204,-460.247771,35.355
89943,gdb_89944,OC1CC2(CCC12)C#C,2.9077,1.30671,1.06821,1.3885,81.92,-0.2466,0.0385,0.285,1168.4761,0.158378,-385.829052,-385.820419,-385.819475,-385.862144,33.773
41292,gdb_41293,C1CC23CC4CC2C4C13,3.50231,1.67185,1.58005,0.088,85.86,-0.242,0.0955,0.3375,955.0439,0.186477,-349.887412,-349.881093,-349.880149,-349.917518,28.435
95062,gdb_95063,CC1CC2CC(CO1)O2,2.86404,1.53989,1.2368,0.7808,77.77,-0.2373,0.083,0.3203,1092.3323,0.184473,-424.221507,-424.213685,-424.212741,-424.253386,31.692
1373,gdb_1374,C#CC(=O)NC=N,8.17957,1.59325,1.33351,5.1914,58.24,-0.2549,-0.0509,0.204,827.4768,0.077374,-339.418028,-339.410839,-339.409895,-339.449597,24.471
45668,gdb_45669,N=C1CN=C2CC=CN12,3.18876,1.73687,1.14026,1.2205,79.64,-0.2061,-0.0074,0.1987,1020.1611,0.127361,-396.966604,-396.959664,-396.958719,-396.997993,27.188
39009,gdb_39010,C1N2CC=C3CC=CC123,3.21608,1.79212,1.3268,1.5808,83.6,-0.2078,0.0092,0.217,974.9213,0.150289,-364.796957,-364.790286,-364.789342,-364.827584,28.022
6697,gdb_6698,CC(C)CC#CC=O,6.62975,0.71474,0.6682,4.0536,80.29,-0.2627,-0.0573,0.2054,1660.5075,0.150635,-347.795412,-347.785605,-347.784661,-347.831835,33.236
78679,gdb_78680,CN1C2C3C1C2(C)C3=O,3.28585,1.48273,1.16737,2.8261,76.79,-0.2135,0.0051,0.2186,1071.0888,0.145867,-401.868074,-401.859627,-401.858683,-401.901395,31.567
96323,gdb_96324,CC1CC(O)CCCO1,2.15877,1.4093,0.94627,1.177,81.73,-0.2426,0.0776,0.3203,1312.123,0.206609,-425.435706,-425.426398,-425.425454,-425.469284,36.386
36638,gdb_36639,C#CCNC1C2CC1O2,3.34571,1.09485,0.96492,2.042,76.81,-0.2272,0.0366,0.2638,1249.3352,0.14675,-401.819887,-401.81153,-401.810585,-401.853721,31.844
22158,gdb_22159,CC(=NO)C#CCCO,5.19555,0.50627,0.46531,0.8446,85.9,-0.226,-0.0227,0.2033,2266.3737,0.143994,-439.01634,-439.005338,-439.004394,-439.054891,37.089
12750,gdb_12751,CC12OC1CC2C#C,3.26175,1.83847,1.48257,2.0648,70.81,-0.2452,0.0452,0.2904,898.8378,0.128363,-346.537382,-346.529594,-346.52865,-346.56924,29.463
133863,gdb_133864,C1C2CC3OC4CC1C234,2.83041,1.9984,1.41781,1.9977,91.95,-0.1386,-0.0638,0.0747,942.7307,0.158927,-385.748296,-385.74118,-385.740236,-385.779365,29.845
46251,gdb_46252,N=C1OCC11CN2CC12,3.18163,1.47857,1.22388,1.5241,72.51,-0.243,0.0133,0.2563,1031.5869,0.137354,-417.950238,-417.942891,-417.941947,-417.982227,28.408
51335,gdb_51336,O=CNC1C2C3CC1N23,4.52868,1.06213,1.02313,4.1608,73.12,-0.2514,0.0213,0.2727,1182.989,0.137957,-417.970413,-417.963,-417.962055,-418.003298,28.06
100822,gdb_100823,CC(CO)C(C)NC=O,2.24638,0.94218,0.83327,3.7972,79.72,-0.2473,0.0328,0.2802,1511.4803,0.191976,-441.511255,-441.500036,-441.499092,-441.548906,39.531
78325,gdb_78326,CN1C2C1C1(C)COC21,2.92233,1.47187,1.24929,2.7411,79.45,-0.2177,0.0634,0.2811,1103.1489,0.170103,-403.065052,-403.056834,-403.05589,-403.09723,32.518
104597,gdb_104598,C1CC1(CO)NC(=O)N,2.27582,1.23389,1.0285,3.1328,71.89,-0.2425,0.0509,0.2934,1252.3175,0.158616,-456.363454,-456.353473,-456.352529,-456.398818,36.453
87452,gdb_87453,CC1CC11N2CC1(C)C2,2.73639,1.37281,1.25463,1.8275,87.4,-0.2275,0.088,0.3155,1163.32,0.193649,-367.126099,-367.117237,-367.116293,-367.159065,34.926
95925,gdb_95926,CN1CCCC1(C)C#N,1.88513,1.62225,1.46746,3.4022,82.21,-0.2301,0.0386,0.2687,1102.0471,0.182978,-383.29413,-383.284573,-383.283629,-383.328647,35.291
21775,gdb_21776,c1(=O)c(=O)[nH]nn[nH]1,3.40533,2.49348,1.43946,2.5137,52.69,-0.2785,-0.0712,0.2073,748.997,0.06201,-446.771472,-446.765389,-446.764445,-446.801977,21.957
16354,gdb_16355,CC1NC(=O)C11CO1,2.63303,2.30732,1.4269,4.3072,62.35,-0.2473,0.0113,0.2586,875.2968,0.117905,-399.794792,-399.787117,-399.786173,-399.826867,27.893
23215,gdb_23216,ON=C1C2CC(O2)C1=O,3.0429,1.53007,1.19325,2.7791,67.13,-0.2338,-0.0682,0.1657,1001.5855,0.100904,-473.751365,-473.744214,-473.743269,-473.783079,27.348
13124,gdb_13125,OCCC1CCC1=O,4.05429,1.16645,0.95815,1.9338,68.72,-0.2397,-0.0201,0.2197,1205.7537,0.152477,-384.944613,-384.935908,-384.934964,-384.978578,30.918
104238,gdb_104239,CC1(CO)CCC1C#C,2.583,1.16466,0.99297,1.3058,84.85,-0.2527,0.046,0.2987,1289.9547,0.180158,-387.045805,-387.035743,-387.034799,-387.080446,37.81
3107,gdb_3108,C#CC12CC1CC2,5.83421,2.11363,1.83443,0.8024,68.7,-0.2301,0.0401,0.2702,723.9829,0.125016,-271.323089,-271.316622,-271.315678,-271.353031,25.23
75907,gdb_75908,CC1C(=O)CCC11CN1,2.63869,1.42787,1.14296,2.2018,78.37,-0.2387,-0.0198,0.2189,1139.4225,0.171426,-403.159645,-403.151052,-403.150107,-403.193052,33.025
3621,gdb_3622,C1C2C3C4C2C1N34,5.41252,3.73979,3.5436,1.8018,58.85,-0.2259,0.0811,0.307,490.0515,0.11619,-287.347,-287.342562,-287.341618,-287.374779,18.888
34316,gdb_34317,C#CC12CCC1=CCC2,2.24762,1.77898,1.30048,0.8791,88.01,-0.2307,0.0145,0.2452,1059.4975,0.159572,-348.706379,-348.698329,-348.697385,-348.738664,32.161
85757,gdb_85758,OC1CC(C#C)N2CC12,3.34554,1.22148,1.04948,2.1893,77.13,-0.2353,0.0394,0.2748,1163.5992,0.14762,-401.885216,-401.8769,-401.875956,-401.918009,32.357
113987,gdb_113988,OCC1CC1CCC#N,4.01882,0.62179,0.57259,3.2402,80.83,-0.2695,0.0365,0.306,1892.9995,0.170079,-403.145347,-403.135296,-403.134351,-403.181636,35.477
59063,gdb_59064,CC(C)C1C(C#C)N1C,2.07399,1.35956,1.02926,1.1274,88.88,-0.2211,0.0352,0.2562,1295.7317,0.190949,-367.153708,-367.143078,-367.142134,-367.189003,39.347
77253,gdb_77254,CC1N(CC=O)C1(C)C,2.62201,0.96372,0.87597,3.1195,84.07,-0.2281,-0.0199,0.2082,1460.8639,0.189677,-404.335127,-404.324135,-404.32319,-404.371872,39.059
36509,gdb_36510,C#CCC1COCC=C1,4.12703,0.95096,0.81413,0.8738,83.6,-0.2451,0.0179,0.263,1398.8381,0.1592,-385.859316,-385.850698,-385.849754,-385.89284,32.773
123931,gdb_123932,c1c2c([nH]n1)OCCN2,3.55321,1.61744,1.15028,3.4828,70.24,-0.1933,0.0393,0.2326,1008.4799,0.129195,-434.071888,-434.065103,-434.064159,-434.10296,26.998
22485,gdb_22486,C(CC(=NO)CO)C#N,3.5183,0.75357,0.66919,4.3837,72.59,-0.2708,-0.0239,0.2469,1614.393,0.134399,-455.111326,-455.101499,-455.100555,-455.147237,34.455
15177,gdb_15178,OCCC#CC1CN1,8.53224,0.648,0.62922,2.4943,75.52,-0.2316,0.0366,0.2682,1738.5231,0.141553,-363.798803,-363.78971,-363.788766,-363.834496,31.055
38985,gdb_38986,C1C2OC22COCCC12,2.97682,1.66405,1.22479,1.5995,74.69,-0.2445,0.0828,0.3273,1030.5717,0.161244,-422.991621,-422.984479,-422.983534,-423.022968,29.099
93094,gdb_93095,CC1(C)CC=CCC1O,2.14236,1.60476,1.37245,1.4688,85.57,-0.2454,0.0222,0.2676,1117.0943,0.206035,-388.315029,-388.305791,-388.304847,-388.347902,37.246
70060,gdb_70061,CC12OC1C=C1COC21,3.09569,1.6828,1.30448,2.2937,73.73,-0.2454,-0.0169,0.2285,990.0361,0.135876,-421.763919,-421.756556,-421.755612,-421.795453,28.919
69715,gdb_69716,CC12OC1C1C2OC1=O,4.0708,1.383,1.27383,5.4015,64.47,-0.2648,0.0035,0.2683,993.456,0.111637,-457.736021,-457.728791,-457.727847,-457.767652,27.714
27913,gdb_27914,c1(nc(nc(n1)O)N)N,2.04001,2.01819,1.01496,2.4634,68.05,-0.2395,0.0134,0.2528,1080.8096,0.104449,-466.292091,-466.284315,-466.283371,-466.324027,29.803
